Census Block,Month,Avg. Temperature,Type of Robbery,Probability
3206001010,8,73,AGGRAVATED,0
3206001010,8,73,ARMED,0.028571429
3206001010,8,73,ATTEMPT,0.971428571
3206001010,8,73,STRONGARM - NO WEAPON,0
3206001010,8,73,VEHICULAR HIJACKING,0
3204001043,8,73,AGGRAVATED,0
3204001043,8,73,ARMED,0.028571429
3204001043,8,73,ATTEMPT,0.971428571
3204001043,8,73,STRONGARM - NO WEAPON,0
3204001043,8,73,VEHICULAR HIJACKING,0
8391001068,7,75,AGGRAVATED,0
8391001068,7,75,ARMED,0.028571429
8391001068,7,75,ATTEMPT,0.971428571
8391001068,7,75,STRONGARM - NO WEAPON,0
8391001068,7,75,VEHICULAR HIJACKING,0
8391001107,7,75,AGGRAVATED,0
8391001107,7,75,ARMED,0.028571429
8391001107,7,75,ATTEMPT,0.971428571
8391001107,7,75,STRONGARM - NO WEAPON,0
8391001107,7,75,VEHICULAR HIJACKING,0
3201002030,7,75,AGGRAVATED,0
3201002030,7,75,ARMED,0.028571429
3201002030,7,75,ATTEMPT,0.971428571
3201002030,7,75,STRONGARM - NO WEAPON,0
3201002030,7,75,VEHICULAR HIJACKING,0
8391001023,7,75,AGGRAVATED,0
8391001023,7,75,ARMED,0.028571429
8391001023,7,75,ATTEMPT,0.971428571
8391001023,7,75,STRONGARM - NO WEAPON,0
8391001023,7,75,VEHICULAR HIJACKING,0
8391001062,7,75,AGGRAVATED,0
8391001062,7,75,ARMED,0.028571429
8391001062,7,75,ATTEMPT,0.971428571
8391001062,7,75,STRONGARM - NO WEAPON,0
8391001062,7,75,VEHICULAR HIJACKING,0
3201001020,7,75,AGGRAVATED,0
3201001020,7,75,ARMED,0.028571429
3201001020,7,75,ATTEMPT,0.971428571
3201001020,7,75,STRONGARM - NO WEAPON,0
3201001020,7,75,VEHICULAR HIJACKING,0
2819001001,7,75,AGGRAVATED,0
2819001001,7,75,ARMED,0.028571429
2819001001,7,75,ATTEMPT,0.971428571
2819001001,7,75,STRONGARM - NO WEAPON,0
2819001001,7,75,VEHICULAR HIJACKING,0
8391001038,7,75,AGGRAVATED,0
8391001038,7,75,ARMED,0.028571429
8391001038,7,75,ATTEMPT,0.971428571
8391001038,7,75,STRONGARM - NO WEAPON,0
8391001038,7,75,VEHICULAR HIJACKING,0
8391002013,7,75,AGGRAVATED,0
8391002013,7,75,ARMED,0.028571429
8391002013,7,75,ATTEMPT,0.971428571
8391002013,7,75,STRONGARM - NO WEAPON,0
8391002013,7,75,VEHICULAR HIJACKING,0
8391002008,7,75,AGGRAVATED,0
8391002008,7,75,ARMED,0.028571429
8391002008,7,75,ATTEMPT,0.971428571
8391002008,7,75,STRONGARM - NO WEAPON,0
8391002008,7,75,VEHICULAR HIJACKING,0
8391002000,7,75,AGGRAVATED,0
8391002000,7,75,ARMED,0.028571429
8391002000,7,75,ATTEMPT,0.971428571
8391002000,7,75,STRONGARM - NO WEAPON,0
8391002000,7,75,VEHICULAR HIJACKING,0
2801001025,7,75,AGGRAVATED,0
2801001025,7,75,ARMED,0.028571429
2801001025,7,75,ATTEMPT,0.971428571
2801001025,7,75,STRONGARM - NO WEAPON,0
2801001025,7,75,VEHICULAR HIJACKING,0
3301001001,7,75,AGGRAVATED,0
3301001001,7,75,ARMED,0.028571429
3301001001,7,75,ATTEMPT,0.971428571
3301001001,7,75,STRONGARM - NO WEAPON,0
3301001001,7,75,VEHICULAR HIJACKING,0
3201001008,7,75,AGGRAVATED,0
3201001008,7,75,ARMED,0.028571429
3201001008,7,75,ATTEMPT,0.971428571
3201001008,7,75,STRONGARM - NO WEAPON,0
3201001008,7,75,VEHICULAR HIJACKING,0
3204001036,7,75,AGGRAVATED,0
3204001036,7,75,ARMED,0.028571429
3204001036,7,75,ATTEMPT,0.971428571
3204001036,7,75,STRONGARM - NO WEAPON,0
3204001036,7,75,VEHICULAR HIJACKING,0
8391001064,7,75,AGGRAVATED,0
8391001064,7,75,ARMED,0.028571429
8391001064,7,75,ATTEMPT,0.971428571
8391001064,7,75,STRONGARM - NO WEAPON,0
8391001064,7,75,VEHICULAR HIJACKING,0
8391001049,7,75,AGGRAVATED,0
8391001049,7,75,ARMED,0.028571429
8391001049,7,75,ATTEMPT,0.971428571
8391001049,7,75,STRONGARM - NO WEAPON,0
8391001049,7,75,VEHICULAR HIJACKING,0
3206002005,7,75,AGGRAVATED,0
3206002005,7,75,ARMED,0.028571429
3206002005,7,75,ATTEMPT,0.971428571
3206002005,7,75,STRONGARM - NO WEAPON,0
3206002005,7,75,VEHICULAR HIJACKING,0
3201001017,7,75,AGGRAVATED,0
3201001017,7,75,ARMED,0.028571429
3201001017,7,75,ATTEMPT,0.971428571
3201001017,7,75,STRONGARM - NO WEAPON,0
3201001017,7,75,VEHICULAR HIJACKING,0
8391001034,7,75,AGGRAVATED,0
8391001034,7,75,ARMED,0.028571429
8391001034,7,75,ATTEMPT,0.971428571
8391001034,7,75,STRONGARM - NO WEAPON,0
8391001034,7,75,VEHICULAR HIJACKING,0
3301001000,7,75,AGGRAVATED,0
3301001000,7,75,ARMED,0.028571429
3301001000,7,75,ATTEMPT,0.971428571
3301001000,7,75,STRONGARM - NO WEAPON,0
3301001000,7,75,VEHICULAR HIJACKING,0
3301003009,7,75,AGGRAVATED,0
3301003009,7,75,ARMED,0.028571429
3301003009,7,75,ATTEMPT,0.971428571
3301003009,7,75,STRONGARM - NO WEAPON,0
3301003009,7,75,VEHICULAR HIJACKING,0
8391001045,7,75,AGGRAVATED,0
8391001045,7,75,ARMED,0.028571429
8391001045,7,75,ATTEMPT,0.971428571
8391001045,7,75,STRONGARM - NO WEAPON,0
8391001045,7,75,VEHICULAR HIJACKING,0
8391001033,7,75,AGGRAVATED,0
8391001033,7,75,ARMED,0.028571429
8391001033,7,75,ATTEMPT,0.971428571
8391001033,7,75,STRONGARM - NO WEAPON,0
8391001033,7,75,VEHICULAR HIJACKING,0
3201002026,7,75,AGGRAVATED,0
3201002026,7,75,ARMED,0.028571429
3201002026,7,75,ATTEMPT,0.971428571
3201002026,7,75,STRONGARM - NO WEAPON,0
3201002026,7,75,VEHICULAR HIJACKING,0
8391001096,7,75,AGGRAVATED,0
8391001096,7,75,ARMED,0.028571429
8391001096,7,75,ATTEMPT,0.971428571
8391001096,7,75,STRONGARM - NO WEAPON,0
8391001096,7,75,VEHICULAR HIJACKING,0
3201002021,7,75,AGGRAVATED,0
3201002021,7,75,ARMED,0.028571429
3201002021,7,75,ATTEMPT,0.971428571
3201002021,7,75,STRONGARM - NO WEAPON,0
3201002021,7,75,VEHICULAR HIJACKING,0
8391001093,7,75,AGGRAVATED,0
8391001093,7,75,ARMED,0.028571429
8391001093,7,75,ATTEMPT,0.971428571
8391001093,7,75,STRONGARM - NO WEAPON,0
8391001093,7,75,VEHICULAR HIJACKING,0
3301001007,7,75,AGGRAVATED,0
3301001007,7,75,ARMED,0.028571429
3301001007,7,75,ATTEMPT,0.971428571
3301001007,7,75,STRONGARM - NO WEAPON,0
3301001007,7,75,VEHICULAR HIJACKING,0
3204001035,7,75,AGGRAVATED,0
3204001035,7,75,ARMED,0.028571429
3204001035,7,75,ATTEMPT,0.971428571
3204001035,7,75,STRONGARM - NO WEAPON,0
3204001035,7,75,VEHICULAR HIJACKING,0
3201002034,7,75,AGGRAVATED,0
3201002034,7,75,ARMED,0.028571429
3201002034,7,75,ATTEMPT,0.971428571
3201002034,7,75,STRONGARM - NO WEAPON,0
3201002034,7,75,VEHICULAR HIJACKING,0
8391001020,7,75,AGGRAVATED,0
8391001020,7,75,ARMED,0.028571429
8391001020,7,75,ATTEMPT,0.971428571
8391001020,7,75,STRONGARM - NO WEAPON,0
8391001020,7,75,VEHICULAR HIJACKING,0
3204001043,7,75,AGGRAVATED,0
3204001043,7,75,ARMED,0.028571429
3204001043,7,75,ATTEMPT,0.971428571
3204001043,7,75,STRONGARM - NO WEAPON,0
3204001043,7,75,VEHICULAR HIJACKING,0
8391001068,6,71,AGGRAVATED,0
8391001068,6,71,ARMED,0.028571429
8391001068,6,71,ATTEMPT,0.971428571
8391001068,6,71,STRONGARM - NO WEAPON,0
8391001068,6,71,VEHICULAR HIJACKING,0
8391001107,6,71,AGGRAVATED,0
8391001107,6,71,ARMED,0.028571429
8391001107,6,71,ATTEMPT,0.971428571
8391001107,6,71,STRONGARM - NO WEAPON,0
8391001107,6,71,VEHICULAR HIJACKING,0
3201002030,6,71,AGGRAVATED,0
3201002030,6,71,ARMED,0.028571429
3201002030,6,71,ATTEMPT,0.971428571
3201002030,6,71,STRONGARM - NO WEAPON,0
3201002030,6,71,VEHICULAR HIJACKING,0
8391001023,6,71,AGGRAVATED,0
8391001023,6,71,ARMED,0.028571429
8391001023,6,71,ATTEMPT,0.971428571
8391001023,6,71,STRONGARM - NO WEAPON,0
8391001023,6,71,VEHICULAR HIJACKING,0
8391002008,6,71,AGGRAVATED,0
8391002008,6,71,ARMED,0.028571429
8391002008,6,71,ATTEMPT,0.971428571
8391002008,6,71,STRONGARM - NO WEAPON,0
8391002008,6,71,VEHICULAR HIJACKING,0
8391002000,6,71,AGGRAVATED,0
8391002000,6,71,ARMED,0.028571429
8391002000,6,71,ATTEMPT,0.971428571
8391002000,6,71,STRONGARM - NO WEAPON,0
8391002000,6,71,VEHICULAR HIJACKING,0
2801001025,6,71,AGGRAVATED,0
2801001025,6,71,ARMED,0.028571429
2801001025,6,71,ATTEMPT,0.971428571
2801001025,6,71,STRONGARM - NO WEAPON,0
2801001025,6,71,VEHICULAR HIJACKING,0
3301001001,6,71,AGGRAVATED,0
3301001001,6,71,ARMED,0.028571429
3301001001,6,71,ATTEMPT,0.971428571
3301001001,6,71,STRONGARM - NO WEAPON,0
3301001001,6,71,VEHICULAR HIJACKING,0
3201001008,6,71,AGGRAVATED,0
3201001008,6,71,ARMED,0.028571429
3201001008,6,71,ATTEMPT,0.971428571
3201001008,6,71,STRONGARM - NO WEAPON,0
3201001008,6,71,VEHICULAR HIJACKING,0
3204001036,6,71,AGGRAVATED,0
3204001036,6,71,ARMED,0.028571429
3204001036,6,71,ATTEMPT,0.971428571
3204001036,6,71,STRONGARM - NO WEAPON,0
3204001036,6,71,VEHICULAR HIJACKING,0
8391001064,6,71,AGGRAVATED,0
8391001064,6,71,ARMED,0.028571429
8391001064,6,71,ATTEMPT,0.971428571
8391001064,6,71,STRONGARM - NO WEAPON,0
8391001064,6,71,VEHICULAR HIJACKING,0
8391001049,6,71,AGGRAVATED,0
8391001049,6,71,ARMED,0.028571429
8391001049,6,71,ATTEMPT,0.971428571
8391001049,6,71,STRONGARM - NO WEAPON,0
8391001049,6,71,VEHICULAR HIJACKING,0
3206002005,6,71,AGGRAVATED,0
3206002005,6,71,ARMED,0.028571429
3206002005,6,71,ATTEMPT,0.971428571
3206002005,6,71,STRONGARM - NO WEAPON,0
3206002005,6,71,VEHICULAR HIJACKING,0
3201001017,6,71,AGGRAVATED,0
3201001017,6,71,ARMED,0.028571429
3201001017,6,71,ATTEMPT,0.971428571
3201001017,6,71,STRONGARM - NO WEAPON,0
3201001017,6,71,VEHICULAR HIJACKING,0
8391001034,6,71,AGGRAVATED,0
8391001034,6,71,ARMED,0.028571429
8391001034,6,71,ATTEMPT,0.971428571
8391001034,6,71,STRONGARM - NO WEAPON,0
